Host,Hop,Loss%,Snt,Last,Avg,Best,Wrst,StDev
files.sitestatic.net,1.0,0.0,10.0,4.54,9.07,3.5,26.26,7.11
files.sitestatic.net,2.0,0.0,10.0,4.16,5.87,3.9,11.24,2.05
files.sitestatic.net,3.0,30.0,10.0,4.94,6.53,3.98,10.17,2.12
files.sitestatic.net,4.0,0.0,10.0,17.89,19.52,14.26,40.45,7.68
files.sitestatic.net,5.0,0.0,10.0,38.18,48.12,28.91,78.41,16.69
files.sitestatic.net,6.0,0.0,10.0,61.8,34.49,21.61,61.8,12.35
files.sitestatic.net,7.0,0.0,10.0,45.83,28.5,21.36,45.83,8.24
files.sitestatic.net,8.0,0.0,10.0,24.5,25.68,20.15,49.35,8.78
www.google.com,1.0,0.0,10.0,3.98,48.18,3.66,224.56,71.51
www.google.com,2.0,0.0,10.0,4.15,46.62,4.15,254.51,78.18
www.google.com,3.0,0.0,10.0,5.07,29.38,2.7,205.7,62.7
www.google.com,4.0,0.0,10.0,28.89,55.57,27.17,178.62,47.59
www.google.com,5.0,0.0,10.0,21.16,33.2,20.19,127.95,33.49
www.google.com,6.0,0.0,10.0,30.34,37.27,22.1,94.29,25.89
www.google.com,7.0,10.0,10.0,26.24,51.37,24.59,127.75,34.7
www.google.com,8.0,0.0,10.0,27.45,51.78,24.37,100.24,31.32
www.google.com,9.0,0.0,10.0,35.69,40.05,23.4,63.4,14.16
www.google.com,10.0,0.0,10.0,31.68,27.4,22.8,31.68,3.32
www.google.com,11.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,12.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,13.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,14.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,15.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,16.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,17.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,18.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,19.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
www.google.com,20.0,0.0,10.0,24.08,60.19,20.72,274.96,83.72
securitydomain-pa.googleapis.com,1.0,0.0,10.0,17.34,9.47,2.52,23.24,7.81
securitydomain-pa.googleapis.com,2.0,0.0,10.0,5.49,9.21,2.5,29.77,8.03
securitydomain-pa.googleapis.com,3.0,0.0,10.0,8.06,8.13,2.55,28.41,7.78
securitydomain-pa.googleapis.com,4.0,0.0,10.0,28.09,28.76,25.46,41.01,4.53
securitydomain-pa.googleapis.com,5.0,0.0,10.0,19.64,24.71,19.64,33.73,5.1
securitydomain-pa.googleapis.com,6.0,0.0,10.0,22.19,25.74,21.16,44.82,7.16
securitydomain-pa.googleapis.com,7.0,0.0,10.0,21.28,23.14,20.71,32.08,3.36
securitydomain-pa.googleapis.com,8.0,0.0,10.0,20.32,25.14,20.27,47.94,8.38
securitydomain-pa.googleapis.com,9.0,10.0,10.0,52.59,28.46,20.84,52.59,11.18
securitydomain-pa.googleapis.com,10.0,0.0,10.0,43.21,25.44,21.08,43.21,6.51
securitydomain-pa.googleapis.com,11.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,12.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,13.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,14.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,15.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,16.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,17.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,18.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,19.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0
securitydomain-pa.googleapis.com,20.0,0.0,10.0,203.9,41.45,19.15,203.9,57.38
www.oldsiamjacksonville.com,1.0,0.0,10.0,6.88,4.25,2.51,6.99,1.88
www.oldsiamjacksonville.com,2.0,0.0,10.0,3.36,4.67,2.48,9.97,2.6
www.oldsiamjacksonville.com,3.0,0.0,10.0,3.54,6.27,2.81,23.41,6.39
www.oldsiamjacksonville.com,4.0,0.0,10.0,15.21,30.08,15.21,99.64,26.68
